,company,title,location,criteria,description
155,NS8 Inc,Data Scientist,"San Francisco, CA","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareInternet","Who We're Looking For

As a Data Scientist at NS8, you will join a team of passionate Data Scientists, Data Engineers and ML Engineers who are focused on building cutting edge data tools that empower our 10k+ e-commerce merchants to provide a frictionless experience for real users and to block fraudulent ones. We are looking for team members that love to solve challenging and novel problems on a massive scale.

What you'll do
Process, clean, and verify the integrity of your development data
Use supervised and unsupervised learning algorithms to identify fraudulent events and optimize the risk/reward tradeoffs our merchants face
Build prototypes and implement them in collaboration with Product/Eng
Build solutions that can handle millions of events daily
Create robust and highly readable documentation
Stay up to date on new developments and frameworks that could further optimize NS8's data services for our clients
Think deeply about the problem we are solving and propose novel data-driven solutions that we don't currently see


Experiences You Need
MS in Engineering, Statistics, Quantitative Economics or equivalent experience
Expert querying data in SQL, BigQuery, Snowflake, Redshift or other Data Warehouse
Proficiency with data science toolkits in Python or R.
Experience querying data from a distributed file service/data lake
2+ years professional experience building algorithms and automated systems
Industry experience with fraud prevention a plus


Who We Are

Founded in 2016, NS8 began with the goal of empowering businesses to better fight the growing epidemic of online fraud. Our software combines advertising protection, order protection, and global monitoring into a single solution that safeguards merchants against ever-evolving digital threats.

Born from data orchestration and early-stage detection, NS8's fast and accurate risk-scoring technology provides better insight into real customers and allows businesses to filter out malicious activity before it starts.

Benefits We Provide
Laid-back office environment with casual attire
Occasional catered lunches, plus kitchen stocked daily with drinks and a variety of snacks
Competitive salaries
Paid time off—holidays, vacation and volunteering days
Paid sick time
Employer-paid health insurance package
Voluntary life and AD&D insurance
Work-from-home days


Physical Demands
This is largely a sedentary role. Must be able to remain in a stationary position for a long period of time.
Must be capable of bending and kneeling, reaching and lifting, and squatting for short periods of time.


NS8 Inc provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training."
156,JBS,DATA SCIENTIST II,"Greeley, CO","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
ConstructionFood ProductionConsumer Goods","JBS USA is a leading global provider of diversified, high-quality food products, including a portfolio of well-recognized brands and innovative, easy-to-use food solutions. We process, prepare, package and deliver fresh and value-added premium meat, poultry and retail-ready food products for customers in approximately 100 countries on six continents. We are also the majority shareholder of Pilgrim’s, the largest poultry company in North America. JBS USA employs more than 100,000 team members, and our corporate office is located in beautiful Greeley, Colorado, where our 1,200 team members onsite enjoy more than 300 days of sunshine a year.

The FED beef team at JBS is seeking a data scientist who is passionate about unlocking the value of our data to provide data insights that inform and influence our product and business decisions. By analyzing large internal and publicly available datasets and developing advanced modelling techniques, you will empower our business through the use of machine learning and artificial intelligence, enhance decision making and allow for insight driven collaboration.

Responsibilities
Leverage the latest machine and deep learning techniques to challenge our current practices in procurement, sales, marketing, operations, claims, expense, etc.
Design, develop, and implement end-to-end machine learning production pipelines (data exploration, data preprocessing, feature engineering, model building, and performance evaluation).
Work with different business organizations across the company to understand their needs and help identify new opportunities.
Mentor, coach, train and lead fellow data scientists and analysts.

Successful Candidate: A successful candidate must:
Take the initiative, easily understand the business dynamics, see the big picture, assess current practices and identify new areas where inefficiencies affect the bottom line of the company.
Understand the uses of business and market information to better drive decisions.
Relate with multiple teams to understand the problems of the business.
Lead a team and managing its resources effectively.
Have a strong analytical mindset so that they can drive decisions in a fact-based environment.
Condense complex analysis and technical concepts with clarity and simplicity for business leaders

Qualifications
Master’s or Ph.D. degree in Applied Mathematics, Computer Science, Software Engineering, Statistics, Business Analytics, Agribusiness, Accounting, Finance, Economics, or related field
Minimum of 3 years of experience in data science, SAP, QlikView or Qlik Sense, and Business Objects (desired)
Highly proficient Python, SQL and R
Solid technical hands-on skills in machine learning (regression, classification, clustering, dimensionality reduction), deep learning (CNN, RNN/LSTM, GAN), time series data, anomaly detection, statistical algorithms, data mining, and data engineering
Knowledge in R Shiny or Dash, Keras, TensorFlow, and cloud computing
Strong ability to use logic and excellent problem-solving skills
Ability to work independently and be flexible
Ability to thrive in a fast paced, highly dynamic environment
Demonstrated experience with agile or other rapid development methods
Passion for innovation and “can do” attitude
Experience in agricultural industry data science is a plus.
EOE/M/F/VET/DISABLED"
157,AssureCare LLC,Data Scientist,"Cincinnati, OH","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Information TechnologyGeneral Business
Industries
Hospital & Health CareInformation Technology and Services","Data Scientist 

AssureCare® is a leading provider of integrated population care management software for healthcare and human services organizations. For nearly two decades, we have served the healthcare industry. Our technology solutions enable organizations to improve quality and dramatically reduce costs by making care management processes more efficient. Our sole business focus is to provide our customers with technology that facilitates positive outcomes for the member, the care team, and the organization.
  Job Description:
  Duties:

Engage with internal or external stakeholders to translate business questions and potential health applications into statistical and machine learning paradigms.
Identify appropriate models, technologies, and experiments to create analytical solutions that improve patient experience.
Create innovative solutions integrating multiple data sources and using supervised and unsupervised learning techniques.
Collaborate with AssureCare software engineers and product managers to enable deployment of sciences and technologies that will scale across our ecosystem.
Leverage statistical programming languages and packages with an emphasis on open source software such as R, Python and other big data technologies.
Use data visualization tools to deliver insights to stakeholders

Skills / Qualifications:

2 years of experience using advanced algorithms, programming languages, or technologies in the development of technical analytics solutions or capabilities.
2 years of experience working with health data i.e. Medical Claims, Pharmacy Claims and other payor and provider data
Experience developing analytical solutions using statistical methods and machine learning algorithms.
Experience using R, Python, JAVA or other big data statistical software to develop analytical solutions.
Experience with data wrangling, data cleaning and prep, dimensionality reduction.
Experience querying data from relational databases using SQL.
Ability to create computationally efficient solutions. 
Data visualization skills and ability to present technical solutions to non-technical audience. 
Passionate about data, analysis and insights.
Welcomes and embraces change. 
Ability to work fast yet accurately. 
An openness and willingness to try new things and to fail.
Ability to work in a highly collaborative environment.
Experience working with APIs

AssureCare® is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. AssureCare® does not discriminate in its employment decisions on the basis of race, religion, color, national origin, sex or pregnancy, age, disability, veteran or military status, genetic information, or any other basis that would be in violation of any applicable federal, state or local law. Furthermore, the Company will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship."
158,PolyOne,Data Scientist,"Avon Lake, OH","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
ChemicalsPlastics","PolyOne Corporation (NYSE:POL), is an award-winning workplace because of the value we place on our people and their contributions through recognition programs, competitive pay, community service, and opportunities to grow professionally and personally. We have a proven track record of promoting from within by providing unique leadership development and training opportunities.

We are a $2.9 billion world-class, global provider of specialty and sustainable polymer solutions with our materials used in everyday products ranging from sports equipment to medical devices to electronics and more. With approximately 5,700 global associates and 60+ facilities around the world, we collaborate closely with our customers to achieve their most pressing design, material science and sustainability goals. If you like to be challenged in a fast-paced, collaborative environment and to work with top, innovative talent, then PolyOne is the ideal company for you to make an impact and build your career.

Why Polyone

At PolyOne, we strive for a culture of trust and engagement. Our associates are leading company initiatives such as Lead by Women, HYPE (Harnessing Young Professional Energy) and Pride at PolyOne to advance diversity in professional and personal development. We also provide our associates with robust development programs such as PolyOne Academy, Lean Six Sigma, and various leadership workshops to allow for career growth in a variety of ways. With workplace flexibility, health and wellness programs, casual dress days, flex Fridays, and paid time off for community service, we are committed to building upon our positive momentum.

General Summary

The Data Scientist will work to make value out of data. We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction algorithms integrated with our products People within this role should be able to perform statistical analysis. The Data Scientist is responsible for performing the function with little to no direction or supervision required; and solving complex problems with minimal assistance that others may struggle to solve.

Essential Duties And Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated formulation/performance predictive models to allow faster creation of options for customers
Identification of customer needs through interaction via telephone or email exchange leading to development of a test program.
Participate in functions involving teams, that impact production, increase efficiency, solve problems, generate cost savings, improve quality and provide new product support.

Skills And Qualifications
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as Tableau, D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, etc.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills in languages such as Python, R, etc.
Data-oriented personality

Required Experience
Bachelor’s or Master’s Degree in Computer Science or Mathematics or a related field
5-7 years in an IT, Technology/Engineering or Data Science role, or a role with commensurate experience.

PolyOne Corporation is a drug free workplace. PolyOne is an equal opportunity employer. We maintain a policy of non-discrimination in providing equal employment to all qualified employees and candidates regardless of race, sex, sexual orientation, gender identity, age, color, religion, national origin, disability, genetic information, protected veteran’s status, or other legally protected classification in accordance with applicable federal, state and local law.

At PolyOne, we believe diversity of ideas and backgrounds gives us the creativity to be successful in a rapidly changing world. In support of this, we stress equality of opportunity for all qualified individuals in accordance with applicable laws. Decisions on hiring, promotion, development, compensation or advancement are based solely on a person’s qualifications, abilities, experience and performance."
159,Parker Hannifin,Data Scientist,"Cleveland, OH","Seniority level
Not Applicable
Employment type
Full-time
Job function
AdvertisingPublic RelationsMarketing
Industries
Aviation & AerospaceElectrical/Electronic ManufacturingIndustrial Automation","Equal Employment Opportunity
Parker Hannifin's Enterprise Performance Management & Analytics team is looking for a full time data scientist who is fluent in using today's data science and mining methods and tools, with excellent communications skills, and who thrives on creatively solving complex problems. This position is located in our Global Corporate Headquarters in Cleveland, OH, a very dynamic industrial B2B environment.

As a 100 year old Fortune 250 company whom has always been on the forefront of technology, we have more content to work with than most, and we have many of our industry's best and brightest professionals to learn from and partner with across many potential career paths.

Successful candidates will be fluent in performing data analytics, using data science methods in today's tolls of the trade, to support, design and implement analytical data products used to enhance our customer and business user interactions and business decisions throughout the corporation.

This position reports to the Director of Business Reporting & Analytics, and as part of the Enterprise Performance Management & Analytics team, this position supports all levels of management at corporate, groups and divisions, across multiple functional areas and countries.

Essential Functions
Subject Matter Expert in a defined functional area or areas.
Create, maintain and report out on a monthly, quarterly and annual basis, key metrics for defined areas of expertise.
Builds and maintains on-line and off-line predictive models for various key performance measures and or forecasts at the enterprise, group and division levels, and other groupings like sales forces and or clusters of customer populations, and communicates results to decision makers for follow up action.
Identify and investigate trends that warrant deeper analysis, and advise decision makers of implications and potential corrective actions.
Develop and manage data quality and normalization and attribution models and metrics needed to make multiple disparate data sources usable for data mining and other analytical uses
Monitor and adapt models to changing business needs
Define and provide input for experiment design and quantitative analysis within area of expertise.
Support Ad hoc requests as a leader, advisor or contributing team member for key projects as needed
Manage the integration of key external data sources into our enterprise data repositories for use by all analytics teams and report writers across the enterprise
Design and manage pattern databases for use in predictive modeling and other data mining analysis
Conform with and contribute to Enterprise Performance Management & Analytics governance processes and policies
Qualifications
7-10 Years of experience applying advanced analytics and data mining methods that impact business results in area of expertise.
Bachelor’s Degree in Physics, Data Science, Statistics, Econometrics, Mathematics, Operations - Management or other quantitative discipline. PhD or Master's Degree preferred.
Skilled in data mining, feature engineering, machine learning and advanced statistical analysis in a business setting.
Proficient with data wrangling, working with large data sets of varying quality, structured &
un-structured to solve business challenges.
Proficient in Statistical Software (R, Python, SPSS, SAS, Stata), Java, SQL, Microsoft Office, and other tools and data types.
Parker is an Equal Opportunity and Affirmative Action Employer. Parker is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job related reasons regardless of race, ethnicity, color, religion, sex, sexual orientation, age, national origin, disability, gender identity, genetic information, veteran status, or any other status protected by law. U.S. Citizenship/Permanent Resident is required for most positions.

(“Minority/Female/Disability/Veteran/VEVRAA Federal Contractor”)

If you would like more information about Equal Employment Opportunity as an applicant under the law, please go to http://www.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf
and http://www1.eeoc.gov/employers/upload/eeoc_gina_supplement.pdf"
160,Zotec Partners,Data Scientist,"Carmel, IN","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Computer SoftwareInsuranceHospital & Health Care","Make an Impact…

Zotec Partners, a leading high-tech healthcare company providing complete physician revenue cycle management through innovative solutions, is looking for an experienced Data Scientist who embodies our core culture of: passion, persistence, people, predictability and perspective.

As a Data Scientist, you will evaluate data utilizing various methods which leads to model development, then integrating algorithms into Zotec’s proprietary technology products that results in the organization making data driven decisions.

What You’ll Do
Collaborate with management and senior engineers to identify opportunities for leveraging data to drive business solutions
Develop custom data models and machine learning algorithms
Contribute to design of analytics, including data sampling, data mining, data quality, and data visualization solutions
Use predictive modeling to increase client satisfaction and optimize reimbursement
Provide technical leadership to the vision, design, and oversight of complex hardware and software solutions that apply machine learning and artificial intelligence to real word data
Participate in daily scrums and technical reviews
In conjunction with the VP of Data and Analytics, contribute to strategic direction to achieve company near and long-term goals specific to data
Provide accurate information regarding time estimates and project status
Use analytical abilities and creativity in anticipating trends
Evolve current data strategies, bringing fresh ideas to the table to continuously improve our direction and results
Complete other duties as assigned

What Will You Bring To Zotec
Bachelor’s degree in computer or statistical field; Master’s degree preferred
In-depth knowledge of core machine learning technologies including R and Python
Machine Learning experience, including supervised machine learning, decision trees, logistic regression, etc.
Experience with feature selection, feature engineering, dimensionality reduction, and cross-validation
Experience with scikit-learn or TensorFlow is preferred
Knowledge or experience with deep learning
Microsoft Certified Azure Data Scientist a plus
Ability to apply knowledge of data science and machine learning to implement and run machine learning workloads in cloud-based technology stacks
Ability to write and review complex queries in SQL
Experience with wrangling and preparing large data sets
Knowledge or experience with natural language processing is a plus
Data visualization and reporting experience, Tableau preferred
Intellectual curiosity and self-motivation are required
Revenue Cycle, Healthcare, and/or Health Insurance industry experience is beneficial
At Zotec, you will enjoy a network of highly experienced professionals in an environment where you can operate with autonomy yet have the resources and backing of other professionals in a similar role. Entrepreneurial and enterprising is the spirit of our team. If you are an original thinker and opportunity seeker, if you'd like to use your strong business savvy in a new way, we'd like to talk to you! Apply Now!

Learn more about our organization, by visiting us at www.zotecpartners.com

E-Verify and Equal Opportunity Employer"
161,MessageControl,Data Scientist,"Chicago, IL","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareComputer & Network Security","Company Description

MessageControl is a cybersecurity start-up in Chicago providing human layer email and messaging security. Our innovative technology protects users from phishing, spoofing, fraud, business email compromise (BEC), and other types of attacks.

Job Description

As a Data Scientist at MessageControl you’ll be building intelligent products to protect people from sophisticated email attacks. In this position, your data science expertise will help us build new features and improve our existing security products. Our transparent and collaborative culture means we work both independently and together as a team on projects in an agile environment.

What You Bring To The Team
Partner with stakeholders across the organization to identify high-impact opportunities to use our data to further our innovative product strategy.
Build complex predictive models using Machine Learning and Deep Learning algorithms to substantially improve our email security tools.
Assess the potential usefulness and validity of new ML and DL approaches and data sources.
Develop proof-of-concept prototypes to prove out hypotheses.
Manage experience with data, including complex queries, exploratory data analysis, data visualization, advanced modeling and communication of applicable insights to audiences at varying levels of technical sophistication.
Help drive our data science culture and strategy.

Qualifications

Desirable Skills and Experience:
Must have at least 3 years of professional experience outside of academic or internship settings. Prior research, data science modeling and taking machine learning features to market.
Outstanding quantitative background (e.g. statistics, math, machine learning, operations research, etc.): Graduate degree required and Ph.D. preferred.
Familiarity with technical tools for analysis - Python (with Pandas, Scikit-learn, etc.), SQL, etc. Prior experience using natural language processing techniques is a plus.
Previous software development experience is required, including usage of version control systems such as git and writing tests
Research mindset with a bias towards action. You are able to structure a project from idea to experimentation to prototype to implementation.
Must be a passionate and attentive self-starter, a great communicator, and possess the ability to follow-through initiatives to completion. You have a great work ethic and love the responsibility of being held accountable for the results.

Additional Information

Perks/Benefits
Direct access to senior management – our leadership team works alongside our team members every day.
Comprehensive medical, dental, and vision insurance.
Company paid life insurance, short term disability and long term disability.
Flexible paid time off (PTO) policy, plus sick days.
Ongoing professional development opportunities by level and function.
Your choice of Windows or Mac laptop.
Onsite gym.
Casual dress in a fun, friendly and collaborative work environment.
The ability to have significant impact every day.
Location:
This position is onsite at our office in the Chicago Loop. We're not offering remote employment at this time."
162,TechDigital Corporation,Junior Data Scientist,"New York, NY","Seniority level
Entry level
Employment type
Contract
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareFinancial Services","Description

Python and Advanced SQL Queries are a MUST

Media And Advertising (or Similar) Experience Highly Preferred.

This is a CONTRACT role and straight IN-PERSON Interview, One and Done!

Specific Databases / analytics tools: Python, SQL (advanced queries), Big Query / GCP, Tableau
You have a minimum 2 years of experience using databases and analytic tools to solve business problems
You have the technical competence to perform more advanced analytics and extensive experience performing analysis with large datasets, including:
Experience writing advanced SQL queries. Experience in Big Query / Google Cloud Platform is strongly preferred.
Experience in the data extract, transform and load process including data cleansing, quality review and data pipelines
Statistical competence (such as regression modelling, a/b testing, significance testing etc)
Experience with programming languages like Python is strongly preferred
Experience with data visualization tools (experience with Tableau is strongly desired)
Knowledge of the marketing and/or advertising industry, and/or prior experience in analyzing data for insights or performance in marketing / digital media contexts is a plus."
163,Cerner Corporation,Data Scientist,"Kansas City, MO","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareHospital & Health Care","Within Cerner's Long-Term, Post-Acute Care organization, the Community Care group is looking for a Data Scientist to join the team! Your main responsibility will be to apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data. Other responsibilities include to conduct feasibility studies to identify data availability, quality and modeling requirements and dependencies; to apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business process, or external data; and to discover or engineer explanatory features in high-dimensionality collections of data that relate to clinically, financially, and/or operationally important use-cases using scientifically valid techniques. If you believe health care is far too important to stay the same, apply today!

Qualifications

Basic Qualifications
Master's degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science or related field, or equivalent relevant work experience
At least 3 years of work experience in data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
At least 3 years of Statistical programming and applied programming work experience
Preferred Qualifications
Doctorate's degree is Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science or related field, or equivalent relevant work experience
At least 3 years of work experience machine learning methods and the principals of visually encoding data work experience
Expectations
Must currently reside in, or be willing to relocate to, the Kansas City, MO metro or reside within 60 miles of a virtually approved city

Additional Information

Applicants for U.S. based positions with Cerner Corporation must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

Some Cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual TB screen, an updated background check, and/or an updated drug screen.

Relocation Assistance Available
Yes - Domestic/Regional

Company Overview

Cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. We are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. From single offices to entire countries, Cerner solutions are licensed at more than 25,000 facilities in over 35 countries.

Cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. Cerner is proud to be a drug-free workplace.

EEO is the Law (English)
E-Verify Participation (English)
Right to Work (English)

EEO is the Law (Spanish)
E-Verify Participation (Spanish)
Right to Work (Spanish)

Virtual Eligible
Yes
Job Family Group
Data & Analytics
City
Kansas City
State/Province
Missouri
Country
United States"
164,Analytic Recruiting Inc.,Data Scientist,Cincinnati Metropolitan Area,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
AnalystResearch
Industries
Financial ServicesInsurance","Data Scientist with strong proficiency building machine learning algorithms, predictive models using SAS, R, Python, etc. sought by Cincinnati-based insurance company to join its newly created Advanced Analytics and Innovation team reporting to the Director. This a great opportunity to work on cutting-edge analytic solutions to solve problems across the enterprise ranging from agency relationship, marketing and risk selection, pricing, underwriting, loss control and risk mitigation, service and operation, retention, claims, and fraud. Ideal should be highly proficient with statistical tools such as SAS, Python, R, etc. and be able to work collaboratively across the organization. Prior insurance experience is not required but is helpful


REQUIREMENTS
Bachelor’s degree in a quantitative field such as math, physics, computer science, or economics. Advanced degree preferred.
Knowledge of and experience with machine learning and model development using SAS, R, Python, etc. coupled with the ability to work with large, complex data sets
Prior experience in the P&C or life insurance industry preferred but not required
Strong communication, interpersonal and organizational skills and the ability to work with stakeholders across the organization"
165,Verily Life Sciences,Data Scientist,"Cambridge, MA","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Computer SoftwareBiotechnologyHospital & Health Care","Description

Verily, an Alphabet company, lives at the intersection of technology, data science and healthcare. Our mission is to make the world’s health data useful so that people enjoy longer and healthier lives. We are developing tools and devices to collect, organize and activate health data, and creating interventions to prevent and manage disease.

As a Data Scientist at Verily, you will apply your skills to perform complex analyses of large, diverse and complex data sets. In this position, you will bring analytical rigor and statistical methods to the challenges of predicting and measuring clinical outcomes and improving health care. To do this, you will deliver key analyses to inform product direction and build reusable analysis tools, working closely with software engineers, product managers and clinicians to deliver analytical models in user-facing products. These efforts combine structured and unstructured EHR data, claims data, traditional clinical and lab-based tests as well as sensor and behavioral data in an effort to change the way health is understood and treated.

Our team combines expertise in biology, chemistry, physics, medicine, engineering, computer science, and more to create interventions that exponentially improve patient care. We partner with leading life sciences, medical device and government organizations to enable fast development, meaningful advances, and deployment at scale. Our work spans many projects, including Project Baseline, the quest to map human health beginning with a 10,000 person observational study; Liftware, stabilizing utensil handles to aid individuals with hand tremor or limited mobility; and Debug, an effort to eradicate mosquito-borne disease with Sterile Insect Technique. For more information, please visit our website.

Responsibilities
Work with large, complex data sets. Solve difficult, non-routine analysis problems, handling data challenges from a real-world setting.
Develop quality control and pre-processing tools for a broad range of digital and clinical data types.
Iterate on, engineer key features and build new statistical and machine learning models relating measured features to clinical endpoints.
Communicate highly technical results and methods clearly, as well as, interact cross-functionally with a wide variety of people and teams.


Qualifications

Minimum qualifications:
Advanced degree in a quantitative discipline (e.g., statistics, computer science, applied mathematics, or similar) or equivalent practical experience.
Demonstrated experience working with Python.
Demonstrated experience working with EHR data.
Experience with exploratory and statistical data analysis (such as linear models, multivariate analysis, predictive modeling and stochastic models).
Experience extracting and cleaning data sets.


Preferred Qualifications
Experience with the analysis of observational clinical data.
Familiarity with medical terminologies and ontologies.
Familiarity with software engineering practices and experience developing production software.
Demonstrated willingness to both teach others and learn new techniques."
166,UBS,"Data Scientist, New Analytic Approaches - Global Research","New York, NY","Seniority level
Not Applicable
Employment type
Full-time
Job function
ResearchAnalyst
Industries
Financial Services","Job Reference #
208724BR

City
New York

Job Type
Full Time

Your role
Are you an empirical social scientist with a track record of extracting information from a few thousand data points, or a few billion? Are you excited by the prospect of working in diverse teams with a broad range of skillsets? Does your head turn if someone asks, ""Now how might we take this hypothesis to data?""

We’re looking for a Research Scientist to:
apply hypothesis-driven empirical research methods to sell-side equity research
embed with equity analyst teams for extended consultations to take hypotheses to data
test hypotheses about how analysts' views respond to new information and data
develop teaching examples on applying empirical research techniques to the analysis of securities
help to ingrain replicable statistical computing workflows and habits in the analyst teams
partner with stakeholders across the company to support a test-learn-redeploy methodology

Your team
You’ll be working in the New Analytic Approaches (Global Research) team. We are bringing hypothesis-driven empirical methods and enterprise statistical computing practices to sell-side equity research. This is an opportunity to be part of a dynamic, creative, globally distributed team positioned at the center of the top equity research department in the world. As a research scientist, you will be helping to establishing the next frontier of sell-side equity research.

Your expertise
Ideally 1-4 years' experience designing and executing hypothesis-driven empirical research projects (research experience gained while earning a degree counts).
Experience conducting research to inform business decisions would be a major plus.
Baccaulaureate or Masters' degree with significant training in both empirical methods and social science
Significant experience or formal training in coding with R or Python, and an ability to work in MS Excel
Intellectual curiosity and excellent communication skills
Teaching experience would be a major plus

About Us

Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."
167,Jefferies,Data Strategy Associate,"New York, NY","Seniority level
Associate
Employment type
Full-time
Job function
FinanceResearch
Industries
Banking","Jefferies is seeking a Data Scientist/Engineer to join the Data Strategy team within Equity Research.
  Responsibilities will include:
Assist Head of Data Strategy in creation of tools, ingestion of data, coordination with global sector team, evaluation of external alternative data vendors and ad-hoc research projects.
Advise global sector teams on the integration of alternative datasets to address fundamental research questions.
Interact with key data partners to communicate business cases, company drivers and other KPIs relevant to fundamental evaluation.
Query/transform internal and external datasets to assist teams in knowledge extraction.
Interface with data vendors, internal research teams, internal sales and trading personnel, and institutional investors.
Conceive and executing on differentiated project ideas across sectors and data types.

Key qualifications:
2+ years of experience within consulting, data research, the financial industry or similar roles
Keen interest in “data economy” within financial services.
Prior experience in a strategic, quantitative or risk role is desirable.
Knowledge of data science programing languages is required (such as R, Python, SQL, Scala)
Knowledge of Excel automation is extremely helpful
Knowledge of financial modeling is not a must but helpful.
Motivated, intelligent, curious, hard-working, team player
 "
168,"Pinnacle Group, Inc.",Data Scientist,"Garland, TX","Seniority level
Mid-Senior level
Employment type
Contract
Job function
Information Technology
Industries
Information Technology and Services","Requirements

• Advanced degree (MS or PhD) in a quantitative field including but not limited to statistics, computer science/data mining, operations research, or mathematics
• Demonstrated aptitude for logical analysis, problem identification, and problem solving
• Excellent interpersonal and communication skills to present analytics effectively to the leadership, team members and customers
• 3+ years of experience in computational programming such as R/Python/Scala
• 3+ years of experience using databases and writing complex queries involving various joins, aggregation functions, sub queries, update/alter tables and creating volatile tables
• 3+ years of experience with data engineering
• 3+ years of experience deploying statistical and machine learning techniques and experience with real-world problems

Desired Qualifications

• Familiarity with deep learning , H20, and Tensorflow
• Building ML models in cloud environment
• Experience with building and implementing recommender systems
• Experience with visualization software such as Tableau, PowerBI
• Knowledge of using the big data environment/parallel processing to scale the model"
